date,risk_scalar
2021-12-03,0.9588743325467695
2021-12-05,0.9691557494100771
2021-12-06,0.9768668120575579
2021-12-07,0.9826501090431684
2021-12-08,0.9869875817823763
2021-12-09,0.9902406863367823
2021-12-10,0.9926805147525868
2021-12-12,0.9945103860644401
2021-12-13,0.9958827895483301
2021-12-14,0.9969120921612475
2021-12-15,0.9976840691209357
2021-12-16,0.9982630518407017
2021-12-17,0.9986972888805263
2021-12-19,0.9990229666603947
2021-12-20,0.9992672249952961
2021-12-21,0.9994504187464721
2021-12-22,0.9995878140598541
2021-12-23,0.9996908605448905
2021-12-24,0.9997681454086679
2021-12-26,0.9998261090565009
2021-12-27,0.9998695817923757
2021-12-28,0.9999021863442819
2021-12-29,0.9999266397582114
2021-12-30,0.9999449798186586
2021-12-31,0.999958734863994
2022-01-02,0.9999690511479955
2022-01-03,0.9999767883609967
2022-01-04,0.9999825912707475
2022-01-05,0.9999869434530606
2022-01-06,0.9999902075897955
2022-01-07,0.9999926556923466
2022-01-09,0.99999449176926
2022-01-10,0.999995868826945
2022-01-11,0.9999969016202088
2022-01-12,0.9999976762151566
2022-01-13,0.9999982571613675
2022-01-14,0.9999986928710256
2022-01-16,0.9999990196532692
2022-01-17,0.9999992647399519
2022-01-18,0.9999994485549639
2022-01-19,0.999999586416223
2022-01-20,0.9999996898121672
2022-01-21,0.9999997673591254
2022-01-23,0.9999998255193441
2022-01-24,0.999999869139508
2022-01-25,0.9999999018546311
2022-01-26,0.9999999263909733
2022-01-27,0.99999994479323
2022-01-28,0.9999999585949224
2022-01-30,0.9999999689461918
2022-01-31,0.9999999767096439
2022-02-01,0.999999982532233
2022-02-02,0.9999999868991747
2022-02-03,0.999999990174381
2022-02-04,0.9999999926307858
2022-02-06,0.9999999944730893
2022-02-07,0.9999999958548169
2022-02-08,0.9999999968911126
2022-02-09,0.9999999976683345
2022-02-10,0.9999999982512509
2022-02-11,0.9999999986884381
2022-02-13,0.9999999990163286
2022-02-14,0.9999999992622465
2022-02-15,0.9999999994466848
2022-02-16,0.9999999995850136
2022-02-17,0.9999999996887602
2022-02-18,0.9999999997665702
2022-02-20,0.9999999998249276
2022-02-21,0.9999999998686957
2022-02-22,0.9999999999015218
2022-02-23,0.9999999999261413
2022-02-24,0.999999999944606
2022-02-25,0.9999999999584545
2022-02-27,0.9999999999688408
2022-02-28,0.9999999999766306
2022-03-01,0.9999999999824729
2022-03-02,0.9999999999868547
2022-03-03,0.999999999990141
2022-03-04,0.9999999999926057
2022-03-06,0.9999999999944542
2022-03-07,0.9999999999958407
2022-03-08,0.9624999999968805
2022-03-09,0.9343749999976604
2022-03-10,0.9132812499982453
2022-03-11,0.897460937498684
2022-03-13,0.885595703124013
2022-03-14,0.8766967773430098
2022-03-15,0.8700225830072573
2022-03-16,0.865016937255443
2022-03-17,0.8612627029415824
2022-03-18,0.8584470272061868
2022-03-20,0.8563352704046402
2022-03-21,0.8547514528034802
2022-03-22,0.8535635896026101
2022-03-23,0.8526726922019576
2022-03-24,0.8520045191514682
2022-03-25,0.8515033893636011
2022-03-27,0.8511275420227009
2022-03-28,0.8508456565170257
2022-03-29,0.8506342423877693
2022-03-30,0.850475681790827
2022-03-31,0.8503567613431203
2022-04-01,0.8502675710073403
2022-04-03,0.8502006782555053
2022-04-04,0.850150508691629
2022-04-05,0.8501128815187218
2022-04-06,0.8500846611390414
2022-04-07,0.8500634958542811
2022-04-08,0.8500476218907108
2022-04-10,0.8500357164180331
2022-04-11,0.8500267873135249
2022-04-12,0.8500200904851437
2022-04-13,0.8500150678638578
2022-04-14,0.8500113008978935
2022-04-15,0.8500084756734201
2022-04-17,0.8500063567550651
2022-04-18,0.8500047675662988
2022-04-19,0.8500035756747242
2022-04-20,0.8500026817560432
2022-04-21,0.8500020113170325
2022-04-22,0.8500015084877743
2022-04-24,0.8500011313658308
2022-04-25,0.8500008485243731
2022-04-26,0.8500006363932798
2022-04-27,0.8500004772949599
2022-04-28,0.85000035797122
2022-04-29,0.850000268478415
2022-05-01,0.8500002013588113
2022-05-02,0.8500001510191085
2022-05-03,0.8500001132643314
2022-05-04,0.8500000849482486
2022-05-05,0.8500000637111865
2022-05-06,0.8500000477833899
2022-05-08,0.8500000358375425
2022-05-09,0.8500000268781569
2022-05-10,0.8500000201586176
2022-05-11,0.8500000151189633
2022-05-12,0.8500000113392224
2022-05-13,0.8500000085044168
2022-05-15,0.8500000063783126
2022-05-16,0.8500000047837345
2022-05-17,0.8500000035878009
2022-05-18,0.8500000026908507
2022-05-19,0.8500000020181381
2022-05-20,0.8500000015136036
2022-05-22,0.8500000011352027
2022-05-23,0.887500000851402
2022-05-24,0.9156250006385516
2022-05-25,0.9367187504789136
2022-05-26,0.9525390628591852
2022-05-27,0.9644042971443889
2022-05-29,0.9733032228582916
2022-05-30,0.9799774171437188
2022-05-31,0.9849830628577891
2022-06-01,0.9887372971433419
2022-06-02,0.9915529728575064
2022-06-03,0.9936647296431298
2022-06-05,0.9952485472323473
2022-06-06,0.9964364104242605
2022-06-07,0.9973273078181953
2022-06-08,0.9979954808636465
2022-06-09,0.9984966106477349
2022-06-10,0.9988724579858012
2022-06-12,0.9991543434893508
2022-06-13,0.9993657576170132
2022-06-14,0.9995243182127599
2022-06-15,0.9996432386595699
2022-06-16,0.9997324289946774
2022-06-17,0.999799321746008
2022-06-19,0.9998494913095061
2022-06-20,0.9998871184821295
2022-06-21,0.9999153388615971
2022-06-22,0.9999365041461978
2022-06-23,0.9999523781096484
2022-06-24,0.9999642835822363
2022-06-26,0.9999732126866773
2022-06-27,0.9999799095150079
2022-06-28,0.9999849321362559
2022-06-29,0.999988699102192
2022-06-30,0.999991524326644
2022-07-01,0.999993643244983
2022-07-03,0.9999952324337372
2022-07-04,0.9999964243253029
2022-07-05,0.9999973182439772
2022-07-06,0.9999979886829828
2022-07-07,0.9999984915122371
2022-07-08,0.9999988686341779
2022-07-10,0.9999991514756335
2022-07-11,0.999999363606725
2022-07-12,0.9999995227050438
2022-07-13,0.9999996420287829
2022-07-14,0.9999997315215872
2022-07-15,0.9999997986411904
2022-07-17,0.9999998489808928
2022-07-18,0.9999998867356696
2022-07-19,0.9999999150517522
2022-07-20,0.9999999362888141
2022-07-21,0.9999999522166105
2022-07-22,0.999999964162458
2022-07-24,0.9999999731218434
2022-07-25,0.9999999798413826
2022-07-26,0.9999999848810369
2022-07-27,0.9999999886607777
2022-07-28,0.9999999914955833
2022-07-29,0.9999999936216875
