date,engine,policy_multiplier,policy_state,stress_percentile,stress_value
2020-08-26,trend,1,ON,0.00000000,0
2020-08-26,vrp,1,ON,0.00000000,0
2020-08-27,trend,1,ON,0.00000000,0
2020-08-27,vrp,1,ON,0.00000000,0
2020-08-28,trend,1,ON,0.00000000,0
2020-08-28,vrp,1,ON,0.00000000,0
2020-08-30,trend,1,ON,0.00000000,0
2020-08-30,vrp,1,ON,0.00000000,0
2020-08-31,vrp,1,ON,0.00000000,0
2020-08-31,trend,1,ON,0.00000000,0
2020-09-01,trend,1,ON,0.00000000,0
2020-09-01,vrp,1,ON,0.00000000,0
2020-09-02,trend,1,ON,0.00000000,0
2020-09-02,vrp,1,ON,0.00000000,0
2020-09-03,trend,1,ON,0.00000000,0
2020-09-03,vrp,1,ON,0.00000000,0
2020-09-04,trend,1,ON,0.00000000,0
2020-09-04,vrp,1,ON,0.00000000,0
2020-09-06,trend,1,ON,0.00000000,0
2020-09-06,vrp,1,ON,0.00000000,0
2020-09-07,vrp,1,ON,0.00000000,0
2020-09-07,trend,1,ON,0.00000000,0
2020-09-08,vrp,1,ON,0.00000000,0
2020-09-08,trend,1,ON,0.00000000,0
2020-09-09,trend,1,ON,0.00000000,0
2020-09-09,vrp,1,ON,0.00000000,0
2020-09-10,trend,1,ON,0.00000000,0
2020-09-10,vrp,1,ON,0.00000000,0
2020-09-11,trend,1,ON,0.00000000,0
2020-09-11,vrp,1,ON,0.00000000,0
2020-09-13,trend,1,ON,0.00000000,0
2020-09-13,vrp,1,ON,0.00000000,0
2020-09-14,trend,1,ON,0.00000000,0
2020-09-14,vrp,1,ON,0.00000000,0
2020-09-15,trend,1,ON,0.00000000,0
2020-09-15,vrp,1,ON,0.00000000,0
2020-09-16,vrp,1,ON,0.00000000,0
2020-09-16,trend,1,ON,0.00000000,0
2020-09-17,trend,1,ON,0.00000000,0
2020-09-17,vrp,1,ON,0.00000000,0
2020-09-18,trend,1,ON,0.00000000,0
2020-09-18,vrp,1,ON,0.00000000,0
2020-09-20,trend,1,ON,0.00000000,0
2020-09-20,vrp,1,ON,0.00000000,0
2020-09-21,trend,1,ON,0.00000000,0
2020-09-21,vrp,1,ON,0.00000000,0
2020-09-22,trend,1,ON,0.00000000,0
2020-09-22,vrp,1,ON,0.00000000,0
2020-09-23,trend,1,ON,0.00000000,0
2020-09-23,vrp,1,ON,0.00000000,0
2020-09-24,trend,1,ON,0.00000000,0
2020-09-24,vrp,1,ON,0.00000000,0
2020-09-25,vrp,1,ON,0.00000000,0
2020-09-25,trend,1,ON,0.00000000,0
2020-09-27,trend,1,ON,0.00000000,0
2020-09-27,vrp,1,ON,0.00000000,0
2020-09-28,trend,1,ON,0.00000000,0
2020-09-28,vrp,1,ON,0.00000000,0
2020-09-29,trend,1,ON,0.00000000,0
2020-09-29,vrp,1,ON,0.00000000,0
2020-09-30,trend,1,ON,0.00000000,0
2020-09-30,vrp,1,ON,0.00000000,0
2020-10-01,trend,1,ON,0.00000000,0
2020-10-01,vrp,1,ON,0.00000000,0
2020-10-02,trend,1,ON,0.00000000,0
2020-10-02,vrp,1,ON,0.00000000,0
2020-10-04,vrp,1,ON,0.00000000,0
2020-10-04,trend,1,ON,0.00000000,0
2020-10-05,trend,1,ON,0.00000000,0
2020-10-05,vrp,1,ON,0.00000000,0
2020-10-06,trend,1,ON,0.00000000,0
2020-10-06,vrp,1,ON,0.00000000,0
2020-10-07,trend,1,ON,0.00000000,0
2020-10-07,vrp,1,ON,0.00000000,0
2020-10-08,trend,1,ON,0.00000000,0
2020-10-08,vrp,1,ON,0.00000000,0
2020-10-09,trend,1,ON,0.00000000,0
2020-10-09,vrp,1,ON,0.00000000,0
2020-10-11,trend,1,ON,0.00000000,0
2020-10-11,vrp,1,ON,0.00000000,0
2020-10-12,vrp,1,ON,0.00000000,0
2020-10-12,trend,1,ON,0.00000000,0
2020-10-13,trend,1,ON,0.00000000,0
2020-10-13,vrp,1,ON,0.00000000,0
2020-10-14,trend,1,ON,0.00000000,0
2020-10-14,vrp,1,ON,0.00000000,0
2020-10-15,trend,1,ON,0.00000000,0
2020-10-15,vrp,1,ON,0.00000000,0
2020-10-16,trend,1,ON,0.00000000,0
2020-10-16,vrp,1,ON,0.00000000,0
2020-10-18,trend,1,ON,0.00000000,0
2020-10-18,vrp,1,ON,0.00000000,0
2020-10-19,trend,1,ON,0.00000000,0
2020-10-19,vrp,1,ON,0.00000000,0
2020-10-20,vrp,1,ON,0.00000000,0
2020-10-20,trend,1,ON,0.00000000,0
2020-10-21,trend,1,ON,0.00000000,0
2020-10-21,vrp,1,ON,0.00000000,0
2020-10-22,trend,1,ON,0.00000000,0
2020-10-22,vrp,1,ON,0.00000000,0
2020-10-23,trend,1,ON,0.00000000,0
2020-10-23,vrp,1,ON,0.00000000,0
2020-10-25,trend,1,ON,0.00000000,0
2020-10-25,vrp,1,ON,0.00000000,0
2020-10-26,trend,1,ON,0.00000000,0
2020-10-26,vrp,1,ON,0.00000000,0
2020-10-27,trend,1,ON,0.00000000,0
2020-10-27,vrp,1,ON,0.00000000,0
2020-10-28,vrp,1,ON,0.00000000,0
2020-10-28,trend,1,ON,0.00000000,0
2020-10-29,trend,1,ON,0.00000000,0
2020-10-29,vrp,1,ON,0.00000000,0
2020-10-30,trend,1,ON,0.00000000,0
2020-10-30,vrp,1,ON,0.00000000,0
2020-11-01,trend,1,ON,0.00000000,0
2020-11-01,vrp,1,ON,0.00000000,0
2020-11-02,trend,1,ON,0.00000000,0
2020-11-02,vrp,1,ON,0.00000000,0
2020-11-03,trend,1,ON,0.00000000,0
2020-11-03,vrp,1,ON,0.00000000,0
2020-11-04,trend,1,ON,0.00000000,0
2020-11-04,vrp,1,ON,0.00000000,0
2020-11-05,vrp,1,ON,0.00000000,0
2020-11-05,trend,1,ON,0.00000000,0
2020-11-06,trend,1,ON,0.00000000,0
2020-11-06,vrp,1,ON,0.00000000,0
2020-11-08,trend,1,ON,0.00000000,0
2020-11-08,vrp,1,ON,0.00000000,0
2020-11-09,trend,1,ON,0.00000000,0
2020-11-09,vrp,1,ON,0.00000000,0
2020-11-10,trend,1,ON,0.00000000,0
2020-11-10,vrp,1,ON,0.00000000,0
2020-11-11,trend,1,ON,0.00000000,0
2020-11-11,vrp,1,ON,0.00000000,0
2020-11-12,trend,1,ON,0.00000000,0
2020-11-12,vrp,1,ON,0.00000000,0
2020-11-13,vrp,1,ON,0.00000000,0
2020-11-13,trend,1,ON,0.00000000,0
2020-11-15,trend,1,ON,0.00000000,0
2020-11-15,vrp,1,ON,0.00000000,0
2020-11-16,trend,1,ON,0.00000000,0
2020-11-16,vrp,1,ON,0.00000000,0
2020-11-17,trend,1,ON,0.00000000,0
2020-11-17,vrp,1,ON,0.00000000,0
2020-11-18,trend,1,ON,0.00000000,0
2020-11-18,vrp,1,ON,0.00000000,0
2020-11-19,trend,1,ON,0.00000000,0
2020-11-19,vrp,1,ON,0.00000000,0
2020-11-20,trend,1,ON,0.00000000,0
2020-11-20,vrp,1,ON,0.00000000,0
2020-11-22,vrp,1,ON,0.00000000,0
2020-11-22,trend,1,ON,0.00000000,0
2020-11-23,trend,1,ON,0.00000000,0
2020-11-23,vrp,1,ON,0.00000000,0
2020-11-24,trend,1,ON,0.00000000,0
2020-11-24,vrp,1,ON,0.00000000,0
2020-11-25,trend,1,ON,0.00000000,0
2020-11-25,vrp,1,ON,0.00000000,0
2020-11-26,trend,1,ON,0.00000000,0
2020-11-26,vrp,1,ON,0.00000000,0
2020-11-27,trend,1,ON,0.00000000,0
2020-11-27,vrp,1,ON,0.00000000,0
2020-11-29,trend,1,ON,0.00000000,0
2020-11-29,vrp,1,ON,0.00000000,0
2020-11-30,vrp,1,ON,0.00000000,0
2020-11-30,trend,1,ON,0.00000000,0
2020-12-01,vrp,1,ON,0.00000000,0
2020-12-01,trend,1,ON,0.00000000,0
2020-12-02,trend,1,ON,0.00000000,0
2020-12-02,vrp,1,ON,0.00000000,0
2020-12-03,trend,1,ON,0.00000000,0
2020-12-03,vrp,1,ON,0.00000000,0
2020-12-04,trend,1,ON,0.00000000,0
2020-12-04,vrp,1,ON,0.00000000,0
