,risk_scalar_applied
2023-08-25,0.9769389847105011
2023-09-01,0.9958956347299694
2023-09-08,0.9992695111616572
2023-09-15,0.9998699886808712
2023-09-22,0.999976860778407
2023-09-29,0.9999958817156882
2023-10-06,0.9999992670338713
2023-10-13,0.9999998695477764
2023-10-20,0.9624999767823069
2023-10-27,0.870022578875562
2023-11-03,0.8535635888672571
2023-11-10,0.8506342422568923
2023-11-17,0.8876128814954284
2023-11-24,0.9799975074731854
2023-12-01,0.9964399860712774
2023-12-08,0.9993663940053616
2023-12-15,0.8854829348705832
2023-12-22,0.942118422734535
2023-12-29,0.866395100140009
2024-01-05,0.919515634115256
2024-01-12,0.8783616202050852
2024-01-19,0.9694520559398211
2024-01-26,0.9945631222607738
2024-02-02,0.999032352570338
2024-02-09,0.9998277795468204
2024-02-16,0.9999693484593828
2024-02-23,0.9999945446842993
2024-03-01,0.8766958064147594
2024-03-08,0.8547512799991114
2024-03-15,0.8508456257615606
2024-03-22,0.8501505032178169
2024-03-29,0.850026786339304
2024-04-05,0.9156297673929084
2024-04-12,0.9849839112376538
2024-04-19,0.9973274588115845
2024-04-26,0.9995243450863391
2024-05-03,0.999915343644517
2024-05-10,0.9999849329875129
2024-05-17,0.9999973183954827
2024-05-24,0.9999995227320085
2024-05-31,0.9132811650565514
2024-06-07,0.8612626878237857
2024-06-14,0.9664088133358252
2024-06-21,0.9940214904594278
2024-06-28,0.9989359537463192
2024-07-05,0.9341856226272136
2024-07-12,0.864983232152158
2024-07-19,0.6475885684177058
2024-07-26,0.7961772622989521
2024-08-02,0.9548250059120937
2024-08-09,0.9052410716088664
2024-08-16,0.8598317239264804
2024-08-23,0.8517498356304698
2024-08-30,0.8878114331480988
2024-09-06,0.9800328454016025
2024-09-13,0.9964462754633223
2024-09-20,0.999367513382022
2024-09-27,0.9998874309705796
2024-10-04,0.9999799651312384
2024-10-11,0.999996434223797
2024-10-18,0.9999993653684444
2024-10-25,0.9999998870492177
2024-11-01,0.9999999798971875
2024-11-08,0.9999999964221312
2024-11-15,0.9343749993632162
2024-11-22,0.8650169371425256
2024-11-29,0.8526726921818606
2024-12-06,0.60386923647475
2024-12-13,0.8427784847143782
2024-12-20,0.8487147254289019
2024-12-27,0.8497712487396655
2025-01-03,0.8499592871902385
2025-01-10,0.8499927539945519
2025-01-17,0.8499987103667063
2025-01-24,0.9733029931292306
2025-01-31,0.99524850634551
2025-02-07,0.9991543362123723
2025-02-14,0.9998494900143602
2025-02-21,0.9999732124561691
2025-02-28,0.9999952323927118
2025-03-07,0.9999991514683317
2025-03-14,0.9999998489795932
2025-03-21,0.9999999731216122
2025-03-28,0.9999999952162244
