date,SR3_SPREAD_R4_R3
2022-10-21,0.0006311694930556389
2022-10-23,0.0001048108164762862
2022-10-24,-0.00023655092995422677
2022-10-25,0.00013133069959359034
2022-10-26,0.0002368101869483219
2022-10-27,0.00036718349245257187
2022-10-28,-0.0006285867558328828
2022-10-30,-0.00010479434110544084
2022-10-31,2.5215454379057256e-05
2022-11-01,-5.24163958485202e-05
2022-11-02,-0.00018247300177964831
2022-11-03,0.00012941710883729307
2022-11-04,0.0004718712315838758
2022-11-06,-0.00010481081647617518
2022-11-07,-0.0004707123282269299
2022-11-08,0.00020967657388482053
2022-11-09,0.00026204077354452515
2022-11-10,2.7921253559659576e-05
2022-11-11,7.862769009170378e-05
2022-11-13,-0.00015707628671657314
2022-11-14,-8.3373864812053e-08
2022-11-15,7.863591678036741e-05
2022-11-16,0.0013256578639641026
2022-11-17,7.82621008139639e-05
2022-11-18,-5.2909645334997535e-05
2022-11-20,-0.00010486722732283571
2022-11-21,-0.00015774005370061683
2022-11-22,5.218125800177109e-05
2022-11-23,-7.829241218471061e-05
2022-11-24,5.2388935456781915e-05
2022-11-25,5.249619402580841e-05
2022-11-27,2.6195840100551315e-05
2022-11-28,2.0077127826922947e-07
2022-11-29,0.0
2022-11-30,-0.00010447403263258437
2022-12-01,0.00023652885728386863
2022-12-02,-5.264442997987562e-05
2022-12-04,0.0
2022-12-05,-7.903542979859068e-05
2022-12-06,5.25799971442531e-05
2022-12-07,2.9270643797651985e-07
2022-12-08,-7.86500766853937e-05
2022-12-09,2.608183179486634e-05
2022-12-11,5.237110162603642e-05
2022-12-12,-0.00015751176783940224
2022-12-13,0.00042060016219047647
2022-12-14,8.374327142846028e-08
2022-12-15,5.243838489787933e-05
2022-12-16,-0.00010487127051550527
2022-12-18,2.617732520093785e-05
2022-12-19,5.218579317489702e-05
2022-12-20,-7.850517361185361e-05
2022-12-21,0.0005480802921034034
2022-12-22,5.238331963142162e-05
2022-12-23,-0.00015767033118774254
2022-12-26,0.0
2022-12-27,-0.00023636380606162355
2022-12-28,5.2683604462533395e-05
2022-12-29,5.266977731910316e-05
2022-12-30,-0.00010524167957193242
2023-01-02,0.0
2023-01-03,2.6226756537184315e-05
2023-01-04,7.897991831651296e-05
2023-01-05,-2.671567973366873e-05
2023-01-06,-0.00013073473976699113
2023-01-08,0.0
2023-01-09,0.0001575630252101945
2023-01-10,-0.00010509569311578648
2023-01-11,0.0001575630252101945
2023-01-12,-7.833051999717178e-05
2023-01-13,5.242738806765512e-05
2023-01-15,0.0
2023-01-16,2.6215068421264753e-05
2023-01-17,-5.243151133837998e-05
2023-01-18,-0.0005774884502308675
2023-01-19,-0.00021011714030572115
2023-01-20,-0.00010508064939851458
2023-01-22,-5.2545846250806605e-05
2023-01-23,0.001232075916848041
2023-01-24,-5.249343832014475e-05
2023-01-25,0.00010521306403998842
2023-01-26,-5.258995577850367e-05
2023-01-27,5.51575534135651e-08
2023-01-29,0.0
2023-01-30,-0.00010513580115911747
2023-01-31,5.2609287147120654e-05
2023-02-01,5.265891011263513e-05
2023-02-02,2.6239832065177993e-05
2023-02-03,-0.00026299660004336367
2023-02-05,-0.00010513036164849776
2023-02-06,-0.00018410718002770388
2023-02-07,0.0
2023-02-08,2.6250853152665066e-05
2023-02-09,-0.00010516905926272191
2023-02-10,-7.884160275661856e-05
2023-02-12,2.6296413169424326e-05
2023-02-13,-0.00010513801821110391
2023-02-14,-5.269085685166708e-05
2023-02-15,0.0018113564171895469
2023-02-16,-0.0014991417649917738
2023-02-17,-0.00010554317269506619
2023-02-19,0.0
2023-02-20,0.00015792808139603043
2023-02-21,-0.00010571240405177207
2023-02-22,5.254557502198942e-05
