date,equity
2022-11-03,-1.752170678476733e-33
2022-11-04,-1.7196896566306133e-33
2022-11-06,-1.7269076614853047e-33
2022-11-07,-1.746757174835713e-33
2022-11-08,-1.7070581481349018e-33
2022-11-09,-1.6727726250751104e-33
2022-11-10,-1.5572845474000194e-33
2022-11-11,-1.555480046186348e-33
2022-11-13,-1.5897655692461393e-33
2022-11-14,-1.6315321386219475e-33
2022-11-15,-1.590697432080784e-33
2022-11-16,-1.4433074437769185e-33
2022-11-17,-1.4639330885820739e-33
2022-11-18,-1.466867744748008e-33
2022-11-20,-1.4593764471602777e-33
2022-11-21,-1.4598685341482072e-33
2022-11-22,-1.425211980348852e-33
2022-11-23,-1.4614851330705544e-33
2022-11-24,-1.5747808250914134e-33
2022-11-25,-1.5862616087494317e-33
2022-11-27,-1.5856295682929406e-33
2022-11-28,-1.594582249184242e-33
2022-11-29,-1.6035890663542135e-33
2022-11-30,-1.5401819446448607e-33
2022-12-01,-1.553183079209687e-33
2022-12-02,-1.5367475649778374e-33
2022-12-04,-1.5419614573903412e-33
2022-12-05,-1.5508960316924133e-33
2022-12-06,-1.5569644676157868e-33
2022-12-07,-1.5332384690386503e-33
2022-12-08,-1.5536944988997822e-33
2022-12-09,-1.5606286332846953e-33
2022-12-11,-1.5569503680003583e-33
2022-12-12,-1.5558276266689105e-33
2022-12-13,-1.5473835505490332e-33
2022-12-14,-1.5340761231882252e-33
2022-12-15,-1.541530246579357e-33
2022-12-16,-1.5521414459982188e-33
2022-12-18,-1.5567091737535528e-33
2022-12-19,-1.558779701362992e-33
2022-12-20,-1.5683298029372273e-33
2022-12-21,-1.5325227720028181e-33
2022-12-22,-1.5338892487612012e-33
2022-12-23,-1.5552540360402182e-33
2022-12-26,-1.5499343856567512e-33
2022-12-27,-1.5470513658100587e-33
2022-12-28,-1.5671328056531066e-33
2022-12-29,-1.560001964565701e-33
2022-12-30,-1.729124985085266e-33
2023-01-02,-1.7094598830914277e-33
2023-01-03,-1.696997235098051e-33
2023-01-04,-1.6928430191002624e-33
2023-01-05,-1.7524937737722812e-33
2023-01-06,-1.628032491521669e-33
2023-01-08,-1.6393080976750022e-33
2023-01-09,-1.603371701717886e-33
2023-01-10,-1.6125511036709575e-33
2023-01-11,-1.6001149769074277e-33
2023-01-12,-1.5503520049286424e-33
2023-01-13,-1.6019615923097558e-33
2023-01-15,-1.6010661414476493e-33
2023-01-16,-1.6019615923097558e-33
2023-01-17,-1.6076323480370965e-33
2023-01-18,-1.4237342474904306e-33
2023-01-19,-1.4203869860611669e-33
2023-01-20,-1.4416709456330796e-33
2023-01-22,-1.4452788044857821e-33
2023-01-23,-1.4758082595146784e-33
2023-01-24,-1.4655441731844854e-33
2023-01-25,-1.477592165688119e-33
2023-01-26,-1.4984983304276758e-33
2023-01-27,-1.5166053162201986e-33
2023-01-29,-1.5156860096548351e-33
2023-01-30,-1.7411343671611943e-33
2023-01-31,-1.718372447707368e-33
2023-02-01,-1.6560642197309547e-33
2023-02-02,-1.6481119759661015e-33
2023-02-03,-1.7643963263946547e-33
2023-02-05,-1.79489206536938e-33
2023-02-06,-1.865109562171496e-33
2023-02-07,-1.8629255931291427e-33
2023-02-08,-1.857549578424772e-33
2023-02-09,-1.8924741298405133e-33
2023-02-10,-1.929447922328095e-33
2023-02-12,-1.920707501388892e-33
2023-02-13,-1.9272628170932908e-33
2023-02-14,-2.0158098046151047e-33
2023-02-15,-1.6168875617618317e-33
2023-02-16,-1.5911187960061123e-33
2023-02-17,-1.562360631416501e-33
2023-02-19,-1.565946354633187e-33
2023-02-20,-1.5686756800195915e-33
2023-02-21,-1.5749453228746774e-33
2023-02-22,-1.5788551427935186e-33
2023-02-23,-1.6018966414720117e-33
2023-02-24,-1.6580637724147762e-33
2023-02-26,-1.6556339177036905e-33
2023-02-27,-1.652425900496177e-33
2023-02-28,-1.6602912287965038e-33
2023-03-01,-1.669420606502162e-33
2023-03-02,-1.6961523387606317e-33
2023-03-03,-1.670240334612322e-33
2023-03-05,-1.6738712918614812e-33
2023-03-06,-1.66203208929676e-33
2023-03-07,-1.6209634183931574e-33
2023-03-08,-1.6049867519433012e-33
2023-03-09,-1.5623645003615603e-33
2023-03-10,-1.567789849084198e-33
2023-03-12,-1.611108225992136e-33
2023-03-13,-1.875771477613033e-33
2023-03-14,-1.701605886291126e-33
2023-03-15,-2.117769555716574e-33
2023-03-16,-2.5641273947430928e-33
2023-03-17,-2.5737489531172646e-33
2023-03-19,-2.6694686899388458e-33
2023-03-20,-2.686768444646351e-33
2023-03-21,-2.546464705763336e-33
2023-03-22,-2.3876175842992674e-33
2023-03-23,-2.248673593929233e-33
2023-03-24,-2.1960064612630034e-33
2023-03-26,-2.229084420010018e-33
2023-03-27,-2.4138260388001874e-33
2023-03-28,-2.512638532760117e-33
2023-03-29,-2.5254581171109315e-33
2023-03-30,-2.5498892611286276e-33
2023-03-31,-2.4960141774338544e-33
2023-04-02,-2.5526010433628815e-33
2023-04-03,-2.7434549942031647e-33
2023-04-04,-2.6271262980758103e-33
2023-04-05,-2.5807602864721974e-33
2023-04-06,-2.6476879024841632e-33
2023-04-07,-2.773864910168374e-33
2023-04-09,-2.7512343106681587e-33
2023-04-10,-2.7956443879964064e-33
2023-04-11,-2.7956443879964064e-33
2023-04-12,-2.7502921036024945e-33
2023-04-13,-2.76508899563398e-33
2023-04-14,-2.8660284786850778e-33
2023-04-16,-2.8822574055179434e-33
2023-04-17,-2.559974668266142e-33
2023-04-18,-2.5741539156336908e-33
2023-04-19,-2.416467839163211e-33
2023-04-20,-2.368275213056928e-33
2023-04-21,-2.3948167306916387e-33
2023-04-23,-2.397776949147374e-33
2023-04-24,-2.3605707862771985e-33
2023-04-25,-2.2742946766731557e-33
2023-04-26,-2.2755982539245575e-33
2023-04-27,-2.353317894988478e-33
2023-04-28,-2.2801751475292394e-33
2023-04-30,-2.3124556193732783e-33
2023-05-01,-2.6615348697933253e-33
2023-05-02,-2.532668067055167e-33
2023-05-03,-2.5225649944391796e-33
2023-05-04,-2.6485128768990235e-33
2023-05-05,-2.598194539651104e-33
2023-05-07,-2.6135321697553053e-33
2023-05-08,-2.6410978286187862e-33
2023-05-09,-2.661594186746221e-33
2023-05-10,-2.6442746622369605e-33
2023-05-11,-2.6286106575050207e-33
2023-05-12,-2.6387845935145097e-33
2023-05-14,-2.6418422813401318e-33
2023-05-15,-2.6562415412192583e-33
2023-05-16,-2.6377537628240392e-33
2023-05-17,-2.5070955411025542e-33
2023-05-18,-2.504287621921058e-33
2023-05-19,-2.518964013220436e-33
2023-05-21,-2.5290974431963105e-33
2023-05-22,-2.5175774107363937e-33
2023-05-23,-2.5095743673378852e-33
2023-05-24,-2.501093452573257e-33
2023-05-25,-2.5281621703699264e-33
2023-05-26,-2.5637790131910605e-33
2023-05-28,-2.5588454462349316e-33
2023-05-29,-2.5686975523459578e-33
2023-05-30,-2.5145369654908224e-33
2023-05-31,-2.5033118017603088e-33
2023-06-01,-2.4791131144923078e-33
2023-06-02,-2.527393951867345e-33
2023-06-04,-2.531689398984875e-33
2023-06-05,-2.4977349649129697e-33
2023-06-06,-2.533837958298491e-33
2023-06-07,-2.55968360396817e-33
